                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.83302,                0.40257,                0.78296,                0.86273,                0.71775,                0.78879,                0.54077,                0.80146,                0.39645,                0.79451,             0.00081688,             0.00081688,             0.00081688
                     37,                0.83839,                0.40039,                0.78545,                0.89804,                 0.7517,                 0.8103,                0.52605,                0.87264,                0.39696,                 0.7994,              0.0008045,              0.0008045,              0.0008045
                     38,                0.83503,                0.39327,                0.78389,                0.87855,                 0.7187,                0.80768,                0.54997,                0.81307,                0.40716,                0.79357,             0.00079213,             0.00079213,             0.00079213
                     39,                0.86289,                0.40348,                0.78526,                0.87189,                0.77488,                0.82977,                0.55031,                0.84849,                0.40688,                0.79778,             0.00077975,             0.00077975,             0.00077975
                     40,                0.82363,                0.38765,                0.78301,                0.87624,                0.78067,                0.81293,                0.54854,                0.83098,                0.39176,                 0.7968,             0.00076738,             0.00076738,             0.00076738
                     41,                0.83696,                0.38993,                0.78374,                 0.9457,                0.72769,                0.81503,                0.56309,                0.78675,                0.38036,                0.79431,               0.000755,               0.000755,               0.000755
                     42,                0.79767,                0.37781,                0.78441,                0.89713,                0.75927,                0.81512,                 0.5588,                0.81142,                 0.3871,                0.79367,             0.00074263,             0.00074263,             0.00074263
                     43,                0.80141,                0.37686,                0.78016,                0.86148,                0.76415,                0.80058,                0.55503,                0.78132,                0.37291,                0.79082,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.8057,                 0.3832,                0.78233,                0.91471,                0.74255,                 0.8098,                0.53708,                0.82117,                0.39598,                0.79446,             0.00071788,             0.00071788,             0.00071788
                     45,                 0.8224,                0.39676,                 0.7813,                0.87758,                0.72683,                0.80209,                0.54853,                  0.806,                0.38873,                0.79303,              0.0007055,              0.0007055,              0.0007055
                     46,                0.79742,                0.37962,                0.78245,                0.92855,                0.70784,                0.79711,                0.53975,                0.84139,                0.39228,                0.79535,             0.00069313,             0.00069313,             0.00069313
                     47,                0.79901,                0.38033,                0.78195,                0.90997,                0.74746,                0.82797,                0.56821,                0.82868,                 0.3852,                 0.7949,             0.00068075,             0.00068075,             0.00068075
                     48,                0.79477,                0.37837,                  0.782,                0.90236,                0.73722,                0.80459,                0.55529,                 0.8193,                0.38822,                0.79242,             0.00066838,             0.00066838,             0.00066838
                     49,                0.78748,                0.37384,                0.78194,                0.89033,                0.68939,                0.78926,                0.53673,                 0.8061,                0.38778,                0.79393,               0.000656,               0.000656,               0.000656
                     50,                0.77636,                0.36663,                0.78041,                0.89053,                0.71743,                0.81825,                0.54571,                0.83459,                0.39032,                0.79495,             0.00064362,             0.00064362,             0.00064362
                     51,                0.80414,                0.37809,                0.78163,                0.89393,                0.74517,                0.79798,                0.55277,                0.75283,                0.37218,                0.79185,             0.00063125,             0.00063125,             0.00063125
                     52,                0.77329,                0.36002,                0.78127,                0.91971,                0.75377,                0.81982,                0.56975,                0.77021,                0.37626,                0.79273,             0.00061887,             0.00061887,             0.00061887
                     53,                0.75991,                0.36062,                 0.7796,                0.86987,                0.74745,                 0.8086,                 0.5636,                0.79119,                0.37339,                0.79331,              0.0006065,              0.0006065,              0.0006065
